Lat	Lon	Count
{lat: 36.697375927269	 lng: -75.980077146085	 count: 266}
{lat: 36.658132506398	 lng: -75.990188986193	 count: 356}
{lat: 36.579853450218	 lng: -76.101155168135	 count: 487}
{lat: 36.652512095259	 lng: -76.009452315421	 count: 578}
{lat: 36.618495602728	 lng: -76.108161427931	 count: 790}
{lat: 36.566747375503	 lng: -76.076772262599	 count: 937}
{lat: 36.647748808399	 lng: -76.015127610031	 count: 1456}
{lat: 36.91437579296	 lng: -76.121553393469	 count: 1587}
{lat: 36.725057775006	 lng: -75.992456717909	 count: 1745}
{lat: 36.901721905161	 lng: -76.155025452903	 count: 1975}
{lat: 36.746766268969	 lng: -75.996052491349	 count: 2017}
{lat: 36.759163487542	 lng: -76.099021006614	 count: 2116}
{lat: 36.864903588286	 lng: -76.141361445456	 count: 2175}
{lat: 36.746687392209	 lng: -76.027416375338	 count: 2403}
{lat: 36.644506932081	 lng: -76.096430683101	 count: 2467}
{lat: 36.856569988766	 lng: -76.138976110811	 count: 2621}
{lat: 36.734491424951	 lng: -76.056415326661	 count: 2750}
{lat: 36.722014814993	 lng: -76.005065762641	 count: 2779}
{lat: 36.734982135316	 lng: -76.053843099801	 count: 2973}
{lat: 36.894301162337	 lng: -76.175265580016	 count: 3302}
{lat: 36.842756976329	 lng: -76.152094930688	 count: 3389}
{lat: 36.8522016274	 lng: -76.08514272159	 count: 3408}
{lat: 36.850824061452	 lng: -75.98725793497	 count: 3419}
{lat: 36.882698903312	 lng: -76.192728590205	 count: 3503}
{lat: 36.836970855504	 lng: -76.139274964951	 count: 3587}
{lat: 36.613280955888	 lng: -76.078558704607	 count: 3594}
{lat: 36.850012254515	 lng: -75.976052974082	 count: 3671}
{lat: 36.789208645044	 lng: -76.191417574212	 count: 3754}
{lat: 36.809972715558	 lng: -76.176870535233	 count: 3781}
{lat: 36.844505161764	 lng: -75.9906898601	 count: 3807}
{lat: 36.864772175914	 lng: -76.053329525787	 count: 3944}
{lat: 36.738814874763	 lng: -75.942944367013	 count: 3954}
{lat: 36.86398274358	 lng: -76.1504954471	 count: 3987}
{lat: 36.849577195439	 lng: -76.144046131101	 count: 4016}
{lat: 36.848607395227	 lng: -76.146204666956	 count: 4036}
{lat: 36.911796645409	 lng: -75.994310176998	 count: 4045}
{lat: 36.845985695864	 lng: -76.102085025261	 count: 4141}
{lat: 36.837560781121	 lng: -75.972731765443	 count: 4263}
{lat: 36.832235597896	 lng: -76.167594244403	 count: 4328}
{lat: 36.819416716229	 lng: -76.003206203626	 count: 4344}
{lat: 36.801531884259	 lng: -76.104949767219	 count: 4344}
{lat: 36.750357593871	 lng: -76.124589146504	 count: 4526}
{lat: 36.847308662034	 lng: -76.091543417336	 count: 4587}
{lat: 36.811778624109	 lng: -76.149209091961	 count: 4666}
{lat: 36.749625416351	 lng: -76.107993426423	 count: 4721}
{lat: 36.799961633273	 lng: -76.149685464997	 count: 4771}
{lat: 36.840318101638	 lng: -76.038732454276	 count: 4789}
{lat: 36.761961239981	 lng: -76.118828912461	 count: 4865}
{lat: 36.819295089344	 lng: -76.059873735413	 count: 4935}
{lat: 36.854662603707	 lng: -76.034011596751	 count: 5052}
{lat: 36.828976335275	 lng: -76.128573693677	 count: 5262}
{lat: 36.8379899493	 lng: -76.146831400592	 count: 5337}
{lat: 36.869030213779	 lng: -76.137330029567	 count: 5375}
{lat: 36.832146141316	 lng: -76.120207496418	 count: 5436}
{lat: 36.658254689063	 lng: -76.031987820228	 count: 5520}
{lat: 36.862226830897	 lng: -75.978942659485	 count: 5618}
{lat: 36.776093410542	 lng: -76.139282498729	 count: 5680}
{lat: 36.812961582668	 lng: -76.157038271089	 count: 5715}
{lat: 36.846253007204	 lng: -75.982573749515	 count: 5828}
{lat: 36.800465657764	 lng: -76.116456417644	 count: 5903}
{lat: 36.811060051565	 lng: -75.985767905527	 count: 5936}
{lat: 36.723329128693	 lng: -76.063899034565	 count: 6183}
{lat: 36.893221946306	 lng: -76.18555602421	 count: 6526}
{lat: 36.841568432147	 lng: -76.173155844617	 count: 6926}
{lat: 36.865276283523	 lng: -76.162897805436	 count: 6993}
{lat: 36.842722271828	 lng: -76.162563384157	 count: 7006}
{lat: 36.794457740755	 lng: -76.024494529877	 count: 7397}
{lat: 36.84224208823	 lng: -76.154808635569	 count: 7456}
{lat: 36.78482817471	 lng: -76.176304035579	 count: 7523}
{lat: 36.864476355677	 lng: -76.146446274472	 count: 7607}
{lat: 36.801653968199	 lng: -76.105222229653	 count: 7723}
{lat: 36.818303695948	 lng: -76.088131834639	 count: 7871}
{lat: 36.758198068348	 lng: -76.14042277219	 count: 7934}
{lat: 36.802320342454	 lng: -76.157222453392	 count: 7998}
{lat: 36.864067383572	 lng: -76.033499746506	 count: 8047}
{lat: 36.874781961627	 lng: -76.031057674087	 count: 8112}
{lat: 36.910054813672	 lng: -76.133113136632	 count: 8331}
{lat: 36.793771929213	 lng: -76.075063100941	 count: 8398}
{lat: 36.898349798598	 lng: -76.125630464574	 count: 8439}
{lat: 36.840949526179	 lng: -75.973404167514	 count: 8567}
{lat: 36.718078031404	 lng: -76.020278366471	 count: 8636}
{lat: 36.827818805059	 lng: -76.084937991342	 count: 8783}
{lat: 36.865320848201	 lng: -76.050790917235	 count: 9249}
{lat: 36.785179525072	 lng: -75.993129756493	 count: 9277}
{lat: 36.864654488338	 lng: -75.984272647721	 count: 9335}
{lat: 36.809692561553	 lng: -76.115337421893	 count: 9349}
{lat: 36.841008086066	 lng: -76.069891605868	 count: 9425}
{lat: 36.862182955677	 lng: -76.135517120679	 count: 10287}
{lat: 36.764264201385	 lng: -76.135488761135	 count: 10525}
{lat: 36.845755447321	 lng: -76.075916155511	 count: 10910}
{lat: 36.780446864105	 lng: -76.122717666648	 count: 11024}
{lat: 36.783548191627	 lng: -76.169285528161	 count: 11029}
{lat: 36.846573318652	 lng: -76.129898638861	 count: 11116}
{lat: 36.825680941335	 lng: -76.110854380615	 count: 11607}
{lat: 36.848399931816	 lng: -76.134639551805	 count: 11611}
{lat: 36.757364897891	 lng: -76.051615162705	 count: 11811}
{lat: 36.89294646371	 lng: -76.164741451245	 count: 12175}
{lat: 36.851829931963	 lng: -76.033739913535	 count: 12194}
{lat: 36.789627345387	 lng: -76.063953660541	 count: 12222}
